2025-12-07T20:48:40.064Z INFO  config: Loaded global config | path=/home/ghost/.config/opencode/dcp.jsonc
2025-12-07T20:48:40.064Z DEBUG config: No project config found | searchedFrom=/home/ghost/personal/Learning/GTC/C++ 1
2025-12-07T20:48:40.149Z INFO  config: Loaded global config | path=/home/ghost/.config/opencode/dcp.jsonc
2025-12-07T20:48:40.149Z DEBUG config: No project config found | searchedFrom=/home/ghost/personal/Learning/GTC/C++ 1
2025-12-07T20:48:40.605Z INFO  config: Loaded global config | path=/home/ghost/.config/opencode/dcp.jsonc
2025-12-07T20:48:40.605Z DEBUG config: No project config found | searchedFrom=/home/ghost/personal/Learning/GTC/C++ 1
2025-12-07T20:48:40.695Z INFO  config: Loaded global config | path=/home/ghost/.config/opencode/dcp.jsonc
2025-12-07T20:48:40.695Z DEBUG config: No project config found | searchedFrom=/home/ghost/personal/Learning/GTC/C++ 1
2025-12-07T20:48:45.937Z INFO  config: Loaded global config | path=/home/ghost/.config/opencode/dcp.jsonc
2025-12-07T20:48:45.937Z DEBUG config: No project config found | searchedFrom=/home/ghost/personal/Learning/GTC/C++ 1
2025-12-07T20:48:45.975Z INFO  config: Loaded global config | path=/home/ghost/.config/opencode/dcp.jsonc
2025-12-07T20:48:45.975Z DEBUG config: No project config found | searchedFrom=/home/ghost/personal/Learning/GTC/C++ 1
2025-12-07T20:48:46.558Z INFO  config: Loaded global config | path=/home/ghost/.config/opencode/dcp.jsonc
2025-12-07T20:48:46.559Z DEBUG config: No project config found | searchedFrom=/home/ghost/personal/Learning/GTC/C++ 1
2025-12-07T20:48:47.120Z INFO  config: Loaded global config | path=/home/ghost/.config/opencode/dcp.jsonc
2025-12-07T20:48:47.120Z DEBUG config: No project config found | searchedFrom=/home/ghost/personal/Learning/GTC/C++ 1
2025-12-07T20:48:47.659Z INFO  config: Loaded global config | path=/home/ghost/.config/opencode/dcp.jsonc
2025-12-07T20:48:47.659Z DEBUG config: No project config found | searchedFrom=/home/ghost/personal/Learning/GTC/C++ 1
2025-12-07T20:48:48.195Z INFO  config: Loaded global config | path=/home/ghost/.config/opencode/dcp.jsonc
2025-12-07T20:48:48.196Z DEBUG config: No project config found | searchedFrom=/home/ghost/personal/Learning/GTC/C++ 1
2025-12-07T20:48:48.723Z INFO  config: Loaded global config | path=/home/ghost/.config/opencode/dcp.jsonc
2025-12-07T20:48:48.723Z DEBUG config: No project config found | searchedFrom=/home/ghost/personal/Learning/GTC/C++ 1
2025-12-07T20:49:24.084Z INFO  config: Loaded global config | path=/home/ghost/.config/opencode/dcp.jsonc
2025-12-07T20:49:24.084Z DEBUG config: No project config found | searchedFrom=/home/ghost/.dotfiles/nvim/.config/nvim
